ticker,date,Assets,GrossProfit,Liabilities,NetIncomeLoss,Revenues
MSFT,2012-09-30,121876000000.0,11840000000.0,53040000000.0,4466000000.0,
MSFT,2012-12-31,128683000000.0,19710666666.666668,56107000000.0,7865666666.666667,
MSFT,2013-03-31,134105000000.0,24903333333.333332,57417000000.0,9669333333.333334,
MSFT,2013-06-30,142431000000.0,40250400000.0,63487000000.0,15103800000.0,
MSFT,2013-09-30,142348000000.0,13399500000.0,60707000000.0,5244000000.0,
MSFT,2013-12-31,153543000000.0,20682500000.0,68443000000.0,8306000000.0,
MSFT,2014-03-31,156119000000.0,24315333333.333332,68695000000.0,9594000000.0,
MSFT,2014-06-30,172384000000.0,42189000000.0,82600000000.0,15089200000.0,
MSFT,2014-09-30,169656000000.0,14928000000.0,79486000000.0,4540000000.0,
MSFT,2014-12-31,174848000000.0,21310000000.0,82969000000.0,7376333333.333333,
MSFT,2015-03-31,176683000000.0,24988666666.666668,86551000000.0,8452666666.666667,
MSFT,2015-06-30,175872800000.0,42210000000.0,95789800000.0,6037800000.0,
MSFT,2015-09-30,172896000000.0,13172000000.0,95451000000.0,4845600000.0,
MSFT,2015-12-31,180098000000.0,18314666666.666668,103318000000.0,6372571428.571428,
MSFT,2016-03-31,181869000000.0,21841000000.0,107063000000.0,7062666666.666667,
MSFT,2016-06-30,193513200000.0,37744800000.0,121516200000.0,12075800000.0,
MSFT,2016-09-30,212524000000.0,13346500000.0,142152000000.0,5178500000.0,
MSFT,2016-12-31,224610000000.0,19505833333.333332,155801000000.0,7459666666.666667,
MSFT,2017-03-31,225017000000.0,24058833333.333332,155288000000.0,8780833333.333334,
MSFT,2017-06-30,248466800000.0,42463800000.0,163819200000.0,17352800000.0,
MSFT,2017-09-30,249097000000.0,16260000000.0,159450000000.0,6576000000.0,
MSFT,2017-12-31,256003000000.0,23274000000.0,177643000000.0,-4110000000.0,
MSFT,2018-03-31,245497000000.0,28921333333.333332,166258000000.0,7515333333.333333,
MSFT,2018-06-30,258848000000.0,51341400000.0,176130000000.0,13491800000.0,
MSFT,2018-09-30,257619000000.0,19179000000.0,171652000000.0,8824000000.0,
MSFT,2018-12-31,258859000000.0,26441000000.0,166731000000.0,11361333333.333334,
MSFT,2019-03-31,263281000000.0,33476666666.666668,168417000000.0,14557000000.0,
MSFT,2019-06-30,286556000000.0,59081800000.0,184226000000.0,28818800000.0,
MSFT,2019-09-30,278955000000.0,22649000000.0,172894000000.0,10678000000.0,
MSFT,2019-12-31,282794000000.0,33607600000.0,172685000000.0,15920200000.0,
MSFT,2020-03-31,285449000000.0,42924800000.0,170948000000.0,19682800000.0,
MSFT,2020-06-30,301311000000.0,79126250000.0,183007000000.0,36011250000.0,
MSFT,2020-09-30,301001000000.0,26152000000.0,177609000000.0,13893000000.0,
MSFT,2020-12-31,304137000000.0,41958000000.0,173901000000.0,22409500000.0,
MSFT,2021-03-31,308879000000.0,56178000000.0,174374000000.0,30135000000.0,
MSFT,2021-06-30,333779000000.0,115856000000.0,191791000000.0,61271000000.0,
MSFT,2021-09-30,335418000000.0,31671000000.0,183440000000.0,20505000000.0,
MSFT,2021-12-31,340389000000.0,50603500000.0,180379000000.0,29017500000.0,
MSFT,2022-03-31,344607000000.0,66964500000.0,181683000000.0,36363000000.0,
MSFT,2022-06-30,364840000000.0,135620000000.0,198298000000.0,72738000000.0,
MSFT,2022-09-30,359784000000.0,34670000000.0,186218000000.0,17556000000.0,
MSFT,2022-12-31,364552000000.0,52594000000.0,181416000000.0,25203000000.0,
MSFT,2023-03-31,380088000000.0,71693500000.0,185405000000.0,35289500000.0,
MSFT,2023-06-30,411976000000.0,146052000000.0,205753000000.0,72361000000.0,
MSFT,2023-09-30,445785000000.0,40215000000.0,225071000000.0,22291000000.0,
MSFT,2023-12-31,470558000000.0,62504500000.0,232290000000.0,33015500000.0,
MSFT,2024-03-31,484275000000.0,84659000000.0,231123000000.0,44019500000.0,
MSFT,2024-06-30,512163000000.0,171008000000.0,243686000000.0,88136000000.0,
MSFT,2024-09-30,523013000000.0,45486000000.0,235290000000.0,24667000000.0,
